Type,Avg Sales
"Direct Connect","606334.043392181"
"Direct Connect","6979994.22923463"
"TDC","275.904648321764"
"TDC","1752.6132633777"
"TDC","2026.13564040406"
"TDC","4106.65734942905"
"TDC","5560.29744474431"
"TDC","5832.94939690145"
"TDC","6959.37546862193"
"TDC","15483.2027273409"
"TDC","16110.2678469006"
"TDC","17004.4090140428"
"TDC","17629.5305248475"
"TDC","17788.1011489679"
"TDC","19152.3448073587"
"TDC","22109.0453151398"
"TDC","31820.1262338956"
"TDC","32709.342882952"
"TDC","42589.0368069314"
"TDC","48447.717152512"
"TDC","63764.3261885041"
"TDC","66961.2119711109"
"TDC","86873.6223886771"
"TDC","99894.5979049639"
"TDC","99926.0644405244"
"TDC","105618.839869926"
"TDC","113111.925421656"
"TDC","135035.032212797"
"TDC","187501.181186339"
"TDC","193756.478518363"
"TDC","220375.0915767"
"TDC","285310.908860089"
"TDC","298465.916460147"
"TDC","304858.818238189"
"TDC","315893.996457173"
"TDC","325230.061802868"
"TDC","331029.125798738"
"TDC","335794.638233422"
"TDC","385477.815656685"
"TDC","451411.568088486"
"TDC","625064.739204349"
"TDC","650064.473200002"
"TDC","712867.675740347"
"TDC","716200.078013221"
"TDC","754557.002349099"
"TDC","779706.313584155"
"TDC","904414.467382595"
"TDC","1670934.76908842"
"TDC","2821848.00200968"
"TDC","3196350.79257865"
"TOA","22712.4296875"
"TOA","142616.5"
"TOA","540165.5"
