Activation Name,Avg Sales
B2G2 Wave 4,142616.5
B2G2 Wave 4,540165.5
DC DISP Boston Beer 0924 Twisted Tea ALC,606334.0434
DC DISP PepsiCo 0524 Po1 x Tyson 2451,6979994.229
Giant Box General Savings,22712.42969
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,15483.20273
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,16110.26785
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,17004.40901
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,17629.53052
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,22109.04532
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,48447.71715
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,66961.21197
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,187501.1812
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,304858.8182
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,315893.9965
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,325230.0618
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,335794.6382
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,385477.8157
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,716200.078
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,754557.0023
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,1670934.769
TDC SFPRJ1095221 PepsiCo Pickup P2 2407 HDO,3196350.793
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,275.9046483
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,1752.613263
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,2026.13564
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,4106.657349
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,5560.297445
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,19152.34481
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,105618.8399
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,113111.9254
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,193756.4785
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,220375.0916
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,331029.1258
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,451411.5681
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,650064.4732
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,712867.6757
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,779706.3136
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,904414.4674
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 1,2821848.002
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,5832.949397
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,6959.375469
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,17788.10115
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,31820.12623
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,32709.34288
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,42589.03681
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,63764.32619
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,86873.62239
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,99894.5979
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,99926.06444
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,135035.0322
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,285310.9089
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,298465.9165
TDC SFPRJ1219973 PepsiCo Pickup P8 2413 2,625064.7392
