Audience,Avg Sales
"Beer Buyers","65377.8289270401"
"Brand Buyers of  CapnCrunchLIFE 10313oz ","37654.9448027794"
"Brand Buyers of  Qkr Rice Crisps SweetSaty Mltpk 15c","1702.82574501493"
"Brand Buyers of bubly 8pk Cans 327","124471.962549954"
"Brand Buyers of bubly 8pk Cans 36","200542.473100737"
"Brand Buyers of Cheetos Pty Sz 13415oz","228278.879345028"
"Brand Buyers of Chewy Granola Bars 58c","57974.8878983932"
"Brand Buyers of Chewy Granola Simply Granola 126241 ","13380.3274553181"
"Brand Buyers of Chewy Value Pack 18ct","57702.8840176491"
"Brand Buyers of DoritosCheetosSunChips Snacks Minis 327","12705.535826665"
"Brand Buyers of DorTostitos Pty Sz 14518oz Dips 15oz ","419305.729264888"
"Brand Buyers of FL Baked Chips","89420.2619766938"
"Brand Buyers of FL Mpk 10ct ","152553.909547363"
"Brand Buyers of FL Mpk 28ct","188765.371241814"
"Brand Buyers of FL Mpk 42Simply Popcrnrs 35","525194.911560038"
"Brand Buyers of FritoLay 42ct Variety Pack 327  ","283749.334772336"
"Brand Buyers of Gat 8pk","433764.932416386"
"Brand Buyers of Gat Alkaline Water 1L ","1694.45689471533"
"Brand Buyers of Gat Alkaline Water 2367flo","2160.97053708556"
"Brand Buyers of GatoradePropel 18pk Bottles 36","231112.434274937"
"Brand Buyers of GatoradePropel12pk Bottles 313","523331.135350561"
"Brand Buyers of GatPropel 18pk","702777.408324904"
"Brand Buyers of MuscleMilkPro Shake Get MM Plant ","63.9976696050206"
"Brand Buyers of MuscleMilkPro Shake Get MM Plant ","327.720413443382"
"Brand Buyers of MuscleMilkPro Shake Get MM Plant ","391.938535301475"
"Brand Buyers of PepMtnDewStarryMUG 10pk Mini ","129501.00611082"
"Brand Buyers of PepMtnDewStarryMUG 12pk","2590803.74764137"
"Brand Buyers of Pepsi 12pk 313 ","2676725.73529782"
"Brand Buyers of PepsiMtnDew 8pk 12 fl oz 313  ","43101.8265337608"
"Brand Buyers of PepsiMtnDewStarryMUG 24pk Cans 36","530424.390225026"
"Brand Buyers of PMC Protein Pancake MixSyrup","3241.7478722568"
"Brand Buyers of PopcornersMissVickies 58oz","53889.4120885706"
"Brand Buyers of PopcornersSimply Pty Size 327","30972.8160712497"
"Brand Buyers of PopcrnrsSmartfood Pty Sz","45189.0627051784"
"Brand Buyers of Pure Leaf 12pk","60183.4791228989"
"Brand Buyers of Qkr IQO Value Pk 20ct","20476.9284542251"
"Brand Buyers of Qkr Quick OatsOldFash Oatmeal 18oz","14404.1456292738"
"Brand Buyers of Qkr Rice Cake Sleeve 44765oz ","53475.1699106586"
"Brand Buyers of Rkstr 10ct","16750.7455567704"
"Brand Buyers of Rkstr 4pk 36 ","14064.7699096732"
"Brand Buyers of RufflesDoritosTostitosFritos 327  ","1161487.00448492"
