Brand,Avg Sales
"1","606334.043392181"
"Cap'N Crunch","22712.4296875"
"Life","22712.4296875"
"Mountain Dew","540165.5"
"Pepsi","142616.5"
"PepsiCo","275.904648321764"
"PepsiCo","1752.6132633777"
"PepsiCo","2026.13564040406"
"PepsiCo","4106.65734942905"
"PepsiCo","5560.29744474431"
"PepsiCo","5832.94939690145"
"PepsiCo","6959.37546862193"
"PepsiCo","15483.2027273409"
"PepsiCo","16110.2678469006"
"PepsiCo","17004.4090140428"
"PepsiCo","17629.5305248475"
"PepsiCo","17788.1011489679"
"PepsiCo","19152.3448073587"
"PepsiCo","22109.0453151398"
"PepsiCo","31820.1262338956"
"PepsiCo","32709.342882952"
"PepsiCo","42589.0368069314"
"PepsiCo","48447.717152512"
"PepsiCo","63764.3261885041"
"PepsiCo","66961.2119711109"
"PepsiCo","86873.6223886771"
"PepsiCo","99894.5979049639"
"PepsiCo","99926.0644405244"
"PepsiCo","105618.839869926"
"PepsiCo","113111.925421656"
"PepsiCo","135035.032212797"
"PepsiCo","187501.181186339"
"PepsiCo","193756.478518363"
"PepsiCo","220375.0915767"
"PepsiCo","285310.908860089"
"PepsiCo","298465.916460147"
"PepsiCo","304858.818238189"
"PepsiCo","315893.996457173"
"PepsiCo","325230.061802868"
"PepsiCo","331029.125798738"
"PepsiCo","335794.638233422"
"PepsiCo","385477.815656685"
"PepsiCo","451411.568088486"
"PepsiCo","625064.739204349"
"PepsiCo","650064.473200002"
"PepsiCo","712867.675740347"
"PepsiCo","716200.078013221"
"PepsiCo","754557.002349099"
"PepsiCo","779706.313584155"
"PepsiCo","904414.467382595"
"PepsiCo","1670934.76908842"
"PepsiCo","2821848.00200968"
"PepsiCo","3196350.79257865"
"Power of One","6979994.22923463"
"Quaker Other Cold Cereal","22712.4296875"
